datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2398,2418.1,2394.6,2414.8,21000,13641500,0
2025-08-01 09:16:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2415.3,2416.6,2407.1,2408.9,8250,13641500,1
2025-08-01 09:17:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2408.2,2419.7,2408.2,2419.7,12500,13641500,2
2025-08-01 09:18:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2421.5,2426.2,2419.7,2426.2,11750,13634500,3
2025-08-01 09:19:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2424.2,2426,2424.2,2426,7000,13634500,4
2025-08-01 09:20:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2425.4,2425.4,2420.9,2423.5,5750,13634500,5
2025-08-01 09:21:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2424.1,2424.2,2422.3,2422.3,1500,13635500,6
2025-08-01 09:22:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2422.3,2424,2421,2423.2,5250,13635500,7
2025-08-01 09:23:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2423.2,2425,2423.2,2423.6,11750,13635500,8
2025-08-01 09:24:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2420.5,2420.5,2418,2419.7,9500,13648250,9
2025-08-01 09:25:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2420,2420,2416.6,2418,4250,13648250,10
2025-08-01 09:26:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2417.5,2421.4,2417.3,2421.4,11500,13648250,11
2025-08-01 09:27:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2421.3,2421.3,2419.3,2419.3,750,13645000,12
2025-08-01 09:28:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2419.2,2420.5,2419.2,2420.5,4500,13645000,13
2025-08-01 09:29:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2421,2421,2419.5,2420.9,1500,13645000,14
2025-08-01 09:30:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2419.9,2422.3,2419.2,2422.3,15000,13650250,15
2025-08-01 09:31:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2418,2419.9,2417,2419.9,5250,13650250,16
2025-08-01 09:32:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2422.1,2422.1,2419.6,2422,3250,13650250,17
2025-08-01 09:33:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2422.1,2429.9,2422.1,2429.9,12500,13664750,18
2025-08-01 09:34:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2430,2430,2427.3,2427.7,6250,13664750,19
2025-08-01 09:35:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2427.4,2429.6,2426.1,2428.2,7250,13664750,20
2025-08-01 09:36:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2429.7,2429.7,2428.1,2428.3,5750,13673750,21
2025-08-01 09:37:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2428.5,2428.6,2426.1,2428.3,3500,13673750,22
2025-08-01 09:38:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2428.3,2430,2427.2,2429.8,15500,13673750,23
2025-08-01 09:39:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2425.4,2430,2424.7,2430,13500,13685000,24
2025-08-01 09:40:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2429.6,2433.9,2429.3,2433.9,13500,13685000,25
2025-08-01 09:41:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2435.7,2435.7,2428.4,2431.3,17250,13685000,26
2025-08-01 09:42:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2431.4,2431.4,2429.5,2429.7,2500,13699000,27
2025-08-01 09:43:00,ASIPAI,NFO,Futures,28-AUG-25,Others,0,2431.7,2435.5,2431.7,2435.5,13750,13699000,28
