datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1072.5,1072.5,1068.9,1070.1,174375,95772500,0
2025-08-01 09:16:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1070.3,1070.7,1068.6,1069,52500,95772500,1
2025-08-01 09:17:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1069.3,1069.8,1069.1,1069.1,58125,95772500,2
2025-08-01 09:18:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1069,1069.8,1068.7,1069.7,38750,95803125,3
2025-08-01 09:19:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1069.8,1071.2,1069,1070.7,51250,95803125,4
2025-08-01 09:20:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1070.8,1071.5,1070.8,1071.4,36250,95803125,5
2025-08-01 09:21:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.2,1073.5,1071,1073.5,45000,95836250,6
2025-08-01 09:22:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1073.7,1074.4,1073.7,1074.1,52500,95836250,7
2025-08-01 09:23:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1074,1074.2,1071.7,1071.9,76250,95836250,8
2025-08-01 09:24:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.9,1071.9,1071.3,1071.3,20625,95901875,9
2025-08-01 09:25:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.4,1071.4,1070.7,1070.8,11875,95901875,10
2025-08-01 09:26:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1070.8,1071.4,1070.8,1071,19375,95901875,11
2025-08-01 09:27:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.1,1071.9,1071.1,1071.8,26250,95918750,12
2025-08-01 09:28:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.6,1071.9,1071.2,1071.4,63125,95918750,13
2025-08-01 09:29:00,AXIBAN,NFO,Futures,28-AUG-25,Others,0,1071.5,1071.9,1071.5,1071.9,7500,95918750,14
