datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,7999.5,8062.5,7999.5,8051.5,7950,2689125,0
2025-08-01 09:16:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8046.5,8075,8043.5,8067.5,3600,2689125,1
2025-08-01 09:17:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8068,8098.5,8065,8088,6075,2689125,2
2025-08-01 09:18:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8087.5,8117.5,8084,8117.5,10650,2689650,3
2025-08-01 09:19:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8119.5,8128.5,8099.5,8099.5,4725,2689650,4
2025-08-01 09:20:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8094.5,8099,8084.5,8084.5,1500,2689650,5
2025-08-01 09:21:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8078.5,8089.5,8078.5,8087,1875,2691450,6
2025-08-01 09:22:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8082.5,8082.5,8075.5,8075.5,450,2691450,7
2025-08-01 09:23:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8066.5,8075,8066.5,8073,1425,2691450,8
2025-08-01 09:24:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8075,8085,8075,8081.5,825,2694150,9
2025-08-01 09:25:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8070,8082,8070,8080,750,2694150,10
2025-08-01 09:26:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8080,8080,8077,8077,300,2694150,11
2025-08-01 09:27:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8076.5,8076.5,8065,8065,1425,2695350,12
2025-08-01 09:28:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8068,8070,8065,8066,1425,2695350,13
2025-08-01 09:29:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8065,8068,8065,8068,1200,2695350,14
2025-08-01 09:30:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8064,8064,8052,8054.5,1425,2693850,15
2025-08-01 09:31:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8055.5,8064,8050,8064,3075,2693850,16
2025-08-01 09:32:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8061.5,8065.5,8056,8061.5,1350,2693850,17
2025-08-01 09:33:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8057.5,8076,8057.5,8075.5,3600,2694900,18
2025-08-01 09:34:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8076,8076,8060,8060,1650,2694900,19
2025-08-01 09:35:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8052.5,8059.5,8044,8044,2025,2694900,20
2025-08-01 09:36:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8048,8052,8043,8045.5,1425,2695650,21
2025-08-01 09:37:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8044.5,8044.5,8030,8036,900,2695650,22
2025-08-01 09:38:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8032,8032.5,8019,8027,2775,2695650,23
2025-08-01 09:39:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8024,8024,8013,8018,1125,2696475,24
2025-08-01 09:40:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8017.5,8018,8015,8015.5,375,2696475,25
2025-08-01 09:41:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8015,8017.5,8011.5,8011.5,1050,2696475,26
2025-08-01 09:42:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8015.5,8020.5,8015.5,8020.5,825,2697450,27
2025-08-01 09:43:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8024,8035,8024,8030,1800,2697450,28
2025-08-01 09:44:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8030,8030,8022.5,8022.5,225,2697450,29
2025-08-01 09:45:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8018.5,8028.5,8018.5,8028.5,975,2696700,30
2025-08-01 09:46:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8025,8025,8000,8013,4350,2696700,31
2025-08-01 09:47:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8014,8030.5,8014,8030.5,1800,2696700,32
2025-08-01 09:48:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8032,8050,8032,8050,825,2697750,33
2025-08-01 09:49:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8045.5,8050,8040,8040,975,2697750,34
2025-08-01 09:50:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8039.5,8044,8039.5,8043,600,2697750,35
2025-08-01 09:51:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8045.5,8060,8045.5,8055,1275,2698275,36
2025-08-01 09:52:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8051,8054.5,8048,8054.5,525,2698275,37
2025-08-01 09:53:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8050.5,8050.5,8042,8044.5,600,2698275,38
2025-08-01 09:54:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8041,8041,8034,8034,150,2698275,39
2025-08-01 09:55:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8041,8041,8038,8038,450,2698800,40
2025-08-01 09:56:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8043.5,8043.5,8038,8038,450,2698800,41
2025-08-01 09:57:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8041,8041,8038.5,8038.5,375,2699325,42
2025-08-01 09:58:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8038.5,8038.5,8032,8032,300,2699325,43
2025-08-01 09:59:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8026,8026,8021.5,8021.5,675,2699325,44
2025-08-01 10:00:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8023,8023,8023,8023,0,2699175,45
2025-08-01 10:01:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8030,8030,8030,8030,0,2699175,46
2025-08-01 10:02:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8030,8037.5,8030,8036.5,375,2699175,47
2025-08-01 10:03:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8036.5,8045.5,8036.5,8043,300,2699550,48
2025-08-01 10:04:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8041,8041,8038.5,8038.5,75,2699550,49
2025-08-01 10:05:00,BAAUTO,NFO,Futures,28-AUG-25,Others,0,8037,8046,8031,8046,1125,2699550,50
