datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.9,885.9,879.6,880.15,178500,89973000,0
2025-08-01 09:16:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,878.85,879.1,878.85,879.1,32250,89973000,1
2025-08-01 09:17:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,878.7,878.7,878.45,878.45,20250,89973000,2
2025-08-01 09:18:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,879.3,881.5,879.3,881.25,32250,90000750,3
2025-08-01 09:19:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,880.75,883.9,880.75,883.4,60000,90000750,4
2025-08-01 09:20:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,883.15,884.2,883.15,883.95,17250,90000750,5
2025-08-01 09:21:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,884,885.35,883.9,885.35,35250,90024750,6
2025-08-01 09:22:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.4,885.5,885.4,885.5,12750,90024750,7
2025-08-01 09:23:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,886.15,886.15,885.3,885.65,28500,90024750,8
2025-08-01 09:24:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.65,886.3,885.4,885.4,15000,90046500,9
2025-08-01 09:25:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.3,885.65,885.3,885.65,9750,90046500,10
2025-08-01 09:26:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.3,886.1,885.3,886.1,23250,90046500,11
2025-08-01 09:27:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,886.4,886.7,886.05,886.05,15750,90069750,12
2025-08-01 09:28:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885.35,885.35,884.05,884.45,32250,90069750,13
2025-08-01 09:29:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,884.55,885.85,884.35,885.85,24000,90069750,14
2025-08-01 09:30:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,886,886,884.3,885.05,37500,90090750,15
2025-08-01 09:31:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,884.6,885.2,884.3,884.45,27750,90090750,16
2025-08-01 09:32:00,BAJFI,NFO,Futures,28-AUG-25,Others,0,885,885,884.55,884.75,10500,90090750,17
