datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5539.5,5559,5537.5,5537.5,91175,3029600,0
2025-08-01 09:16:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5550,5595,5550,5595,48300,3029600,1
2025-08-01 09:17:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5649,5649,5632.5,5632.5,16800,3029600,2
2025-08-01 09:18:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5631.5,5649.5,5631.5,5638,53900,3076325,3
2025-08-01 09:19:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5638.5,5652,5638,5641,24325,3076325,4
2025-08-01 09:20:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5638.5,5657,5629,5651.5,32025,3076325,5
2025-08-01 09:21:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5646,5655.5,5643.5,5655.5,15050,3109925,6
2025-08-01 09:22:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5660.5,5662.5,5617,5619.5,53900,3109925,7
2025-08-01 09:23:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5620,5634.5,5612,5634.5,19425,3109925,8
2025-08-01 09:24:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5635.5,5642,5635.5,5636,18375,3133725,9
2025-08-01 09:25:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5637,5654,5632,5649.5,13825,3133725,10
2025-08-01 09:26:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5650,5654.5,5645,5647.5,8400,3133725,11
2025-08-01 09:27:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5649,5649,5639,5639,7700,3144400,12
2025-08-01 09:28:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5645,5659,5644,5659,9625,3144400,13
2025-08-01 09:29:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5659.5,5660,5649.5,5656.5,11550,3144400,14
2025-08-01 09:30:00,EICMOT,NFO,Futures,28-AUG-25,Others,0,5655.5,5656.5,5644,5649,9625,3125500,15
