datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4221.7,4264.2,4221.7,4261,11700,6442950,0
2025-08-01 09:16:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4259.7,4281.9,4256.9,4280.7,23550,6442950,1
2025-08-01 09:17:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4275.2,4290,4272.2,4281.6,18900,6442950,2
2025-08-01 09:18:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4277.1,4281.9,4271,4271,14250,6438900,3
2025-08-01 09:19:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4268,4278,4268,4268,6600,6438900,4
2025-08-01 09:20:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4271.9,4272.5,4263.6,4268,3300,6438900,5
2025-08-01 09:21:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4265.2,4269.3,4265.2,4269.3,1800,6444300,6
2025-08-01 09:22:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4269,4269,4257.1,4260.8,3450,6444300,7
2025-08-01 09:23:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4263.1,4265,4260,4261,1800,6444300,8
2025-08-01 09:24:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4263,4263.4,4256,4256,3300,6448050,9
2025-08-01 09:25:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4255,4260.1,4252.1,4257,5400,6448050,10
2025-08-01 09:26:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4257.7,4260.4,4257.7,4260.4,750,6448050,11
2025-08-01 09:27:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4256.3,4259.3,4254.5,4254.9,1650,6447450,12
2025-08-01 09:28:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4256.1,4256.2,4256,4256,600,6447450,13
2025-08-01 09:29:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4257.9,4258,4257.9,4258,450,6447450,14
2025-08-01 09:30:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4256,4256,4253.7,4253.7,900,6447150,15
2025-08-01 09:31:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4252.3,4252.3,4247.7,4252,4050,6447150,16
2025-08-01 09:32:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4253,4256.2,4252.1,4256.2,2250,6447150,17
2025-08-01 09:33:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4258.6,4263.5,4258.6,4263.5,1350,6448650,18
2025-08-01 09:34:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4262,4263.8,4250,4250,10350,6448650,19
2025-08-01 09:35:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4245.8,4251.1,4243.9,4247.3,19200,6448650,20
2025-08-01 09:36:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4249.3,4250.5,4248.7,4248.7,2100,6441750,21
2025-08-01 09:37:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4245.9,4245.9,4244.3,4244.5,1350,6441750,22
2025-08-01 09:38:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4240.6,4241.6,4240.4,4240.4,1800,6441750,23
2025-08-01 09:39:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4239,4239,4236.1,4236.1,750,6443400,24
2025-08-01 09:40:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4237.8,4241.5,4237.8,4241.5,750,6443400,25
2025-08-01 09:41:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4240.9,4240.9,4235,4236,5100,6443400,26
2025-08-01 09:42:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4236.7,4239.4,4233.8,4233.8,2400,6447750,27
2025-08-01 09:43:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4234,4234.6,4234,4234.6,1500,6447750,28
2025-08-01 09:44:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4233,4233,4230.5,4230.5,1350,6447750,29
2025-08-01 09:45:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4232,4232.8,4231.7,4232.8,1050,6452700,30
2025-08-01 09:46:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4229.2,4229.3,4225.2,4229.3,1950,6452700,31
2025-08-01 09:47:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4231.7,4231.7,4228,4229,1350,6452700,32
2025-08-01 09:48:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4230.5,4231.7,4230.5,4231.7,450,6455400,33
2025-08-01 09:49:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4236.4,4242,4236.4,4240,7650,6455400,34
2025-08-01 09:50:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4239.7,4241.8,4233.4,4241.8,10200,6455400,35
2025-08-01 09:51:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4243,4247.2,4241.2,4245.3,2550,6458550,36
2025-08-01 09:52:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4243.6,4243.8,4242.3,4242.3,300,6458550,37
2025-08-01 09:53:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4240,4240,4232.7,4232.7,1050,6458550,38
2025-08-01 09:54:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4235.9,4235.9,4230.5,4232,750,6460650,39
2025-08-01 09:55:00,HERHON,NFO,Futures,28-AUG-25,Others,0,4230.1,4230.1,4228,4228,300,6460650,40
