datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2579.1,2705.7,2579.1,2652.8,1024800,15818100,0
2025-08-01 09:16:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2643.7,2643.7,2599.9,2599.9,237000,15818100,1
2025-08-01 09:17:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2620.9,2637.7,2620.9,2637.7,144300,15818100,2
2025-08-01 09:18:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2644.6,2648.9,2640.6,2642.6,169500,16077900,3
2025-08-01 09:19:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2642.2,2642.7,2632.6,2635.9,77100,16077900,4
2025-08-01 09:20:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2640.7,2640.7,2628.1,2640.1,127800,16077900,5
2025-08-01 09:21:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2641,2641,2634,2634,68100,16151400,6
2025-08-01 09:22:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2629.1,2634.8,2624.6,2631.9,78600,16151400,7
2025-08-01 09:23:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2634.1,2638.9,2632.9,2638.4,45300,16151400,8
2025-08-01 09:24:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2638.3,2638.3,2632.6,2632.9,31500,16177800,9
2025-08-01 09:25:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2632.1,2632.1,2623.8,2624.2,39600,16177800,10
2025-08-01 09:26:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2624.2,2632.5,2620.8,2628.7,59700,16177800,11
2025-08-01 09:27:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2630.8,2630.8,2624.1,2624.2,42300,16135800,12
2025-08-01 09:28:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2624.2,2637.5,2624,2635.5,44100,16135800,13
2025-08-01 09:29:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2633.9,2634.1,2625.8,2627.1,24600,16135800,14
2025-08-01 09:30:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2625.6,2630.9,2624,2629,43200,16111800,15
2025-08-01 09:31:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2629.4,2629.4,2620,2623.2,45900,16111800,16
2025-08-01 09:32:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2624.6,2628.7,2621.8,2628.7,112800,16111800,17
2025-08-01 09:33:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2630,2636.3,2623.8,2636.3,49200,16146000,18
2025-08-01 09:34:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2633.2,2633.2,2625,2625,32700,16146000,19
2025-08-01 09:35:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2624.1,2624.6,2621.9,2624.6,26400,16146000,20
2025-08-01 09:36:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2624.5,2624.5,2620.9,2621.7,21300,16155300,21
2025-08-01 09:37:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2618.6,2622.6,2616.1,2622.6,30000,16155300,22
2025-08-01 09:38:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2620,2634.5,2620,2633.4,54900,16155300,23
2025-08-01 09:39:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2628.6,2631.3,2627.1,2628,25500,16152000,24
2025-08-01 09:40:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2627.2,2627.7,2623,2623,10500,16152000,25
2025-08-01 09:41:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2623.4,2623.7,2622,2622,9000,16152000,26
2025-08-01 09:42:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2623,2623.5,2618.2,2619,28200,16093500,27
2025-08-01 09:43:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2621.9,2622,2616.2,2616.4,36900,16093500,28
2025-08-01 09:44:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2617.6,2623.3,2617.6,2620.9,18600,16093500,29
2025-08-01 09:45:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2621.9,2629,2620.1,2629,31200,16094700,30
2025-08-01 09:46:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2626.7,2628.5,2623.4,2625.1,18300,16094700,31
2025-08-01 09:47:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2626.5,2632,2625.1,2632,22200,16094700,32
2025-08-01 09:48:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2631.8,2639.7,2629,2634,36300,16033200,33
2025-08-01 09:49:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2634.1,2635,2628.6,2632.8,14700,16033200,34
2025-08-01 09:50:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2633.8,2635,2619.7,2621.7,33900,16033200,35
2025-08-01 09:51:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2620.9,2622.5,2617.6,2618.4,21300,15953100,36
2025-08-01 09:52:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2618.6,2621,2617.8,2620.9,13500,15953100,37
2025-08-01 09:53:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2620,2622,2618.7,2619.4,17100,15953100,38
2025-08-01 09:54:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2619,2620.4,2618,2618.4,12600,15821400,39
2025-08-01 09:55:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2618.7,2619,2611.5,2616.4,24600,15821400,40
2025-08-01 09:56:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2616,2616.6,2598.7,2598.7,73200,15821400,41
2025-08-01 09:57:00,HINLEV,NFO,Futures,28-AUG-25,Others,0,2599.2,2599.6,2594.5,2594.5,53700,15762900,42
