datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1475,1475,1470.7,1472.4,186200,93609600,0
2025-08-01 09:16:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1472.3,1472.3,1471.6,1471.8,65800,93609600,1
2025-08-01 09:17:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1471.3,1471.7,1471.3,1471.7,44100,93609600,2
2025-08-01 09:18:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1471.2,1472.1,1470.9,1471,55300,93647400,3
2025-08-01 09:19:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1471,1471.3,1470.8,1470.9,59500,93647400,4
2025-08-01 09:20:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1470.8,1472.3,1470.8,1472.3,23800,93647400,5
2025-08-01 09:21:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473.4,1474.1,1473.4,1474.1,38500,93700600,6
2025-08-01 09:22:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473.3,1473.8,1473,1473,23100,93700600,7
2025-08-01 09:23:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473,1473.2,1472.7,1473.1,45500,93700600,8
2025-08-01 09:24:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1472.5,1473.3,1472.5,1473.3,18200,93777600,9
2025-08-01 09:25:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1472.7,1472.7,1472.5,1472.5,21000,93777600,10
2025-08-01 09:26:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1472.4,1472.4,1472.4,1472.4,25200,93777600,11
2025-08-01 09:27:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1471.9,1471.9,1471.9,1471.9,11200,93821000,12
2025-08-01 09:28:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1472.2,1472.2,1472.2,1472.2,5600,93821000,13
2025-08-01 09:29:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473,1473.5,1473,1473.5,8400,93821000,14
2025-08-01 09:30:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473.9,1474.4,1473.9,1474.4,15400,93798600,15
2025-08-01 09:31:00,ICIBAN,NFO,Futures,28-AUG-25,Others,0,1473.5,1473.5,1473.2,1473.2,18200,93798600,16
