datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,ITC,NFO,Futures,28-AUG-25,Others,0,414,414.95,413.55,414.5,292800,97688000,0
2025-08-01 09:16:00,ITC,NFO,Futures,28-AUG-25,Others,0,414.65,414.65,414.1,414.2,129600,97688000,1
2025-08-01 09:17:00,ITC,NFO,Futures,28-AUG-25,Others,0,414.15,415.2,414.1,414.9,206400,97688000,2
2025-08-01 09:18:00,ITC,NFO,Futures,28-AUG-25,Others,0,414.75,415.45,414.75,415.45,132800,97734400,3
2025-08-01 09:19:00,ITC,NFO,Futures,28-AUG-25,Others,0,416,416,416,416,92800,97734400,4
2025-08-01 09:20:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.9,416,415.75,416,84800,97734400,5
2025-08-01 09:21:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.95,415.95,415.2,415.5,72000,97800000,6
2025-08-01 09:22:00,ITC,NFO,Futures,28-AUG-25,Others,0,415,415.85,414.85,415.75,68800,97800000,7
2025-08-01 09:23:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.7,415.95,415.65,415.95,132800,97800000,8
2025-08-01 09:24:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.6,415.65,415.45,415.5,73600,97819200,9
2025-08-01 09:25:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.5,415.5,414.85,415,92800,97819200,10
2025-08-01 09:26:00,ITC,NFO,Futures,28-AUG-25,Others,0,414.6,415,414.55,414.7,60800,97819200,11
2025-08-01 09:27:00,ITC,NFO,Futures,28-AUG-25,Others,0,414.85,415.25,414.8,415.25,176000,97878400,12
2025-08-01 09:28:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.35,415.8,415.35,415.7,75200,97878400,13
2025-08-01 09:29:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.55,415.55,415.4,415.4,44800,97878400,14
2025-08-01 09:30:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.35,415.5,415.15,415.5,73600,97939200,15
2025-08-01 09:31:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.35,415.45,415.25,415.35,49600,97939200,16
2025-08-01 09:32:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.35,415.65,415.3,415.65,64000,97939200,17
2025-08-01 09:33:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.55,416.45,415.55,416.4,156800,98016000,18
2025-08-01 09:34:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.6,416.65,416.25,416.25,81600,98016000,19
2025-08-01 09:35:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.35,416.35,415.95,415.95,76800,98016000,20
2025-08-01 09:36:00,ITC,NFO,Futures,28-AUG-25,Others,0,416,416,415.85,416,41600,97995200,21
2025-08-01 09:37:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.7,416.1,415.7,416.05,59200,97995200,22
2025-08-01 09:38:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.85,416.4,415.85,416.4,30400,97995200,23
2025-08-01 09:39:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.3,416.3,415.95,416.1,80000,98040000,24
2025-08-01 09:40:00,ITC,NFO,Futures,28-AUG-25,Others,0,415.95,416.1,415.9,416.05,35200,98040000,25
2025-08-01 09:41:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.1,416.2,415.95,416.2,40000,98040000,26
2025-08-01 09:42:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.35,416.45,416.15,416.15,104000,98083200,27
2025-08-01 09:43:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.6,416.8,416.55,416.8,91200,98083200,28
2025-08-01 09:44:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.7,416.9,416.5,416.5,139200,98083200,29
2025-08-01 09:45:00,ITC,NFO,Futures,28-AUG-25,Others,0,416.65,417.2,416.5,417.2,265600,98145600,30
2025-08-01 09:46:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.15,417.6,417.15,417.6,454400,98145600,31
2025-08-01 09:47:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.5,417.6,417.4,417.5,222400,98145600,32
2025-08-01 09:48:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.55,417.6,417.4,417.4,51200,98238400,33
2025-08-01 09:49:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.6,417.7,417.45,417.5,112000,98238400,34
2025-08-01 09:50:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.5,417.55,417.4,417.55,52800,98238400,35
2025-08-01 09:51:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.5,417.6,417.4,417.6,94400,98083200,36
2025-08-01 09:52:00,ITC,NFO,Futures,28-AUG-25,Others,0,417.4,417.6,417.4,417.6,4800,98083200,37
