datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2272,2272,2272,2272,0,10268500,0
2025-08-01 09:16:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2271.6,2274,2271.6,2274,14250,10268500,1
2025-08-01 09:17:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2279.1,2283.5,2279.1,2283.5,25000,10268500,2
2025-08-01 09:18:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2290,2292.4,2287.4,2292.4,16500,10266000,3
2025-08-01 09:19:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289.5,2292.6,2286.7,2289.7,26500,10266000,4
2025-08-01 09:20:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289.7,2292,2287.8,2288.8,19250,10266000,5
2025-08-01 09:21:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2287.8,2288,2285,2285,9000,10268750,6
2025-08-01 09:22:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2282.4,2287,2282.4,2286.6,4500,10268750,7
2025-08-01 09:23:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.6,2288.4,2285.5,2285.5,3250,10268750,8
2025-08-01 09:24:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284,2285,2283.6,2284.8,5250,10275000,9
2025-08-01 09:25:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284.3,2285.4,2282,2282.1,5000,10275000,10
2025-08-01 09:26:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2282.1,2285,2281.5,2284.7,3500,10275000,11
2025-08-01 09:27:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284.1,2284.1,2278.5,2280,4750,10274500,12
2025-08-01 09:28:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2280,2285.6,2280,2285,7000,10274500,13
2025-08-01 09:29:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2283.8,2283.8,2283.6,2283.6,250,10274500,14
2025-08-01 09:30:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2282.7,2283.5,2281.3,2281.3,3000,10274500,15
2025-08-01 09:31:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2281.2,2281.2,2277.5,2277.5,5750,10274500,16
2025-08-01 09:32:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2280.4,2284,2278.7,2284,4500,10274500,17
2025-08-01 09:33:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2283.8,2288.9,2283.6,2288.9,8500,10277000,18
2025-08-01 09:34:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289,2289,2285,2285,8750,10277000,19
2025-08-01 09:35:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2285.7,2286.5,2283.4,2286.5,6000,10277000,20
2025-08-01 09:36:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.4,2286.4,2283.7,2283.7,4000,10278250,21
2025-08-01 09:37:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2283.2,2285.9,2282.7,2284.6,7000,10278250,22
2025-08-01 09:38:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284.1,2286.7,2284,2286.1,5500,10278250,23
2025-08-01 09:39:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2285.5,2285.5,2281.8,2283.1,3500,10281500,24
2025-08-01 09:40:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2283.4,2284.3,2283.4,2284,4500,10281500,25
2025-08-01 09:41:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2285.9,2285.9,2282.6,2283.5,4250,10281500,26
2025-08-01 09:42:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2283.3,2283.3,2282.5,2282.5,1750,10285250,27
2025-08-01 09:43:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2282.9,2285,2282.3,2283.7,3000,10285250,28
2025-08-01 09:44:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284.1,2286.3,2284,2285.5,2000,10285250,29
2025-08-01 09:45:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.3,2291,2284.6,2290.6,6250,10291750,30
2025-08-01 09:46:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289.4,2290.9,2289.4,2290,5000,10291750,31
2025-08-01 09:47:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2290.5,2290.8,2289,2290.8,3750,10291750,32
2025-08-01 09:48:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2291.3,2293.3,2291,2291.4,10500,10301750,33
2025-08-01 09:49:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2292.3,2292.3,2289,2289,3000,10301750,34
2025-08-01 09:50:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289.7,2290.1,2289.7,2290.1,1500,10301750,35
2025-08-01 09:51:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2290.1,2290.7,2286.9,2286.9,3250,10296750,36
2025-08-01 09:52:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2287.5,2289.5,2287.5,2289.5,500,10296750,37
2025-08-01 09:53:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2289.3,2290.1,2288.5,2290.1,4000,10296750,38
2025-08-01 09:54:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2290.7,2290.7,2288.2,2289.8,1500,10298500,39
2025-08-01 09:55:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.2,2288.2,2286.2,2288.2,250,10298500,40
2025-08-01 09:56:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.9,2288.4,2286.9,2287.3,1000,10298500,41
2025-08-01 09:57:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2286.3,2286.6,2285,2286.2,7250,10295500,42
2025-08-01 09:58:00,NESIND,NFO,Futures,28-AUG-25,Others,0,2284,2284,2282.5,2283.2,10000,10295500,43
