datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,290.9,290.9,290.9,290.9,0,68251800,0
2025-08-01 09:16:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.45,289.55,289.45,289.55,36100,68251800,1
2025-08-01 09:17:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.4,289.4,289.35,289.35,19000,68251800,2
2025-08-01 09:18:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.05,289.15,288.95,289.15,62700,68303100,3
2025-08-01 09:19:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.4,289.5,289.4,289.4,26600,68303100,4
2025-08-01 09:20:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.55,290,289.5,290,24700,68303100,5
2025-08-01 09:21:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.95,290,289.7,289.8,34200,68343000,6
2025-08-01 09:22:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.8,289.9,289.7,289.7,30400,68343000,7
2025-08-01 09:23:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.7,289.7,289.65,289.65,1900,68343000,8
2025-08-01 09:24:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.3,289.3,289.3,289.3,0,68373400,9
2025-08-01 09:25:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.3,289.3,289.2,289.2,3800,68373400,10
2025-08-01 09:26:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.1,289.45,289.1,289.45,17100,68373400,11
2025-08-01 09:27:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,289.25,289.25,289.15,289.15,3800,68386700,12
2025-08-01 09:28:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,288.85,288.85,288.85,288.85,0,68386700,13
2025-08-01 09:29:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,288.5,288.5,288.15,288.15,36100,68386700,14
2025-08-01 09:30:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,288.1,288.3,287.75,287.8,62700,68375300,15
2025-08-01 09:31:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.55,287.6,287.45,287.5,51300,68375300,16
2025-08-01 09:32:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.65,287.65,287.5,287.65,28500,68375300,17
2025-08-01 09:33:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.65,287.95,287.4,287.95,30400,68394300,18
2025-08-01 09:34:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,288,288,287.6,287.6,19000,68394300,19
2025-08-01 09:35:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.4,287.4,286.85,287,95000,68394300,20
2025-08-01 09:36:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.15,287.5,287.15,287.4,24700,68382900,21
2025-08-01 09:37:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.4,287.4,287.15,287.15,24700,68382900,22
2025-08-01 09:38:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.25,287.25,286.95,287.1,28500,68382900,23
2025-08-01 09:39:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.9,286.9,286.55,286.65,15200,68362000,24
2025-08-01 09:40:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.35,287.8,286.35,287.8,66500,68362000,25
2025-08-01 09:41:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.8,288,287.75,287.95,24700,68362000,26
2025-08-01 09:42:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.9,287.9,287.75,287.9,13300,68386700,27
2025-08-01 09:43:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.9,287.9,287.65,287.65,20900,68386700,28
2025-08-01 09:44:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.85,287.9,287.85,287.9,5700,68386700,29
2025-08-01 09:45:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.65,287.65,287.2,287.25,26600,68386700,30
2025-08-01 09:46:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.25,287.25,287.15,287.2,22800,68384800,31
2025-08-01 09:47:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.2,287.25,286.85,287.25,26600,68384800,32
2025-08-01 09:48:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.15,287.15,287.15,287.15,1900,68384800,33
2025-08-01 09:49:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287.3,287.3,287.15,287.15,9500,68382900,34
2025-08-01 09:50:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287,287.05,287,287.05,3800,68382900,35
2025-08-01 09:51:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287,287,286.9,286.9,13300,68346800,36
2025-08-01 09:52:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,287,287,286.9,286.9,3800,68346800,37
2025-08-01 09:53:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.95,286.95,286.95,286.95,1900,68346800,38
2025-08-01 09:54:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.75,286.8,286.75,286.75,7600,68346800,39
2025-08-01 09:55:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.65,286.9,286.65,286.9,3800,68365800,40
2025-08-01 09:56:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.9,286.9,286.8,286.8,3800,68365800,41
2025-08-01 09:57:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.6,286.6,286.6,286.6,0,68369600,42
2025-08-01 09:58:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.55,286.55,286.5,286.5,3800,68369600,43
2025-08-01 09:59:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.2,286.65,286.2,286.55,32300,68369600,44
2025-08-01 10:00:00,POWGRI,NFO,Futures,28-AUG-25,Others,0,286.8,286.8,286.65,286.7,11400,68379100,45
