datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.2,1391.2,1386.2,1389.3,217500,107227000,0
2025-08-01 09:16:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1389.7,1392.3,1389.7,1390.5,101500,107227000,1
2025-08-01 09:17:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1390.5,1392.5,1389,1392.5,224500,107227000,2
2025-08-01 09:18:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1390.6,1391.3,1389.2,1390.7,122000,107290000,3
2025-08-01 09:19:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.1,1392.9,1390.9,1392.9,50000,107290000,4
2025-08-01 09:20:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.3,1393.6,1391,1393.6,61500,107290000,5
2025-08-01 09:21:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1393.6,1394.8,1392.2,1393,131000,107380500,6
2025-08-01 09:22:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.4,1393.7,1392.3,1393.4,26500,107380500,7
2025-08-01 09:23:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1393.1,1393.4,1391.9,1391.9,42500,107380500,8
2025-08-01 09:24:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.7,1391.7,1391.1,1391.3,41500,107470500,9
2025-08-01 09:25:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.3,1392.5,1390.4,1392.5,88000,107470500,10
2025-08-01 09:26:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392,1392,1389.2,1390.3,102000,107470500,11
2025-08-01 09:27:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1389.6,1390.1,1389.6,1389.8,75500,107500500,12
2025-08-01 09:28:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1389.9,1390.7,1389.5,1389.5,47000,107500500,13
2025-08-01 09:29:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1389.4,1390.1,1389.3,1390.1,34500,107500500,14
2025-08-01 09:30:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1389.8,1390.7,1389.7,1390.3,25000,107479500,15
2025-08-01 09:31:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1390.3,1391.9,1389.1,1391.9,59500,107479500,16
2025-08-01 09:32:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.3,1392.9,1392.2,1392.6,80500,107479500,17
2025-08-01 09:33:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.6,1394.5,1392,1394.5,39500,107553500,18
2025-08-01 09:34:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.2,1394.3,1392.6,1393.4,56000,107553500,19
2025-08-01 09:35:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1393.4,1394,1393.4,1394,32000,107553500,20
2025-08-01 09:36:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.5,1395.7,1394.5,1395.5,40500,107542500,21
2025-08-01 09:37:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.5,1395.5,1394,1395.2,28000,107542500,22
2025-08-01 09:38:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.2,1395.2,1394.4,1395,25500,107542500,23
2025-08-01 09:39:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.6,1395.1,1394.2,1394.2,19500,107542500,24
2025-08-01 09:40:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.2,1395.3,1393.7,1395.3,31000,107542500,25
2025-08-01 09:41:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.2,1396.5,1395.2,1396,19500,107542500,26
2025-08-01 09:42:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1396,1396,1394.8,1395.9,54500,107548500,27
2025-08-01 09:43:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1396,1396,1395.4,1395.6,14000,107548500,28
2025-08-01 09:44:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.4,1395.4,1394.5,1394.6,9000,107548500,29
2025-08-01 09:45:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395,1395.1,1394.3,1395.1,13500,107543500,30
2025-08-01 09:46:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.3,1395.3,1394.5,1394.5,10500,107543500,31
2025-08-01 09:47:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.8,1394.8,1393.7,1394.2,42000,107543500,32
2025-08-01 09:48:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.1,1396,1394.1,1395.9,26500,107548500,33
2025-08-01 09:49:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.7,1396,1394.6,1394.6,17000,107548500,34
2025-08-01 09:50:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.4,1396,1394,1396,30500,107548500,35
2025-08-01 09:51:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1396.3,1396.7,1396,1396,43000,107561500,36
2025-08-01 09:52:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1395.6,1395.8,1395,1395.5,19500,107561500,37
2025-08-01 09:53:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.2,1394.2,1394,1394.1,10000,107561500,38
2025-08-01 09:54:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1393.4,1393.4,1392.1,1392.1,16000,107584000,39
2025-08-01 09:55:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.3,1392.8,1392.2,1392.6,12000,107584000,40
2025-08-01 09:56:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1392.4,1392.8,1391.3,1391.3,25500,107584000,41
2025-08-01 09:57:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.5,1392.4,1391.3,1392,14500,107589000,42
2025-08-01 09:58:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.5,1392.4,1391.5,1392.3,8000,107589000,43
2025-08-01 09:59:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1391.9,1394.9,1391.9,1394.6,40500,107589000,44
2025-08-01 10:00:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1394.7,1396.5,1393.5,1396.5,32000,107575000,45
2025-08-01 10:01:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1396.5,1396.6,1395.5,1396.5,33500,107575000,46
2025-08-01 10:02:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1396.8,1398,1396.6,1398,33500,107575000,47
2025-08-01 10:03:00,RELIND,NFO,Futures,28-AUG-25,Others,0,1398,1399.6,1397.9,1399.5,80500,107569500,48
