datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341,3346.5,3333.3,3343.3,14350,9528050,0
2025-08-01 09:16:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3339.7,3343.1,3339.7,3339.9,4025,9528050,1
2025-08-01 09:17:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3340.7,3344.1,3340.7,3342.3,6300,9528050,2
2025-08-01 09:18:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.2,3345.9,3342.2,3343.8,4725,9528750,3
2025-08-01 09:19:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.2,3344.2,3342.5,3343,14875,9528750,4
2025-08-01 09:20:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.1,3345.5,3342.3,3345.5,2275,9528750,5
2025-08-01 09:21:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346,3347,3346,3347,1575,9535575,6
2025-08-01 09:22:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.3,3349.7,3347.3,3347.9,350,9535575,7
2025-08-01 09:23:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.9,3350,3348.9,3348.9,875,9535575,8
2025-08-01 09:24:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.5,3349.5,3348.7,3348.7,1575,9539075,9
2025-08-01 09:25:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.8,3348.1,3347.5,3347.5,875,9539075,10
2025-08-01 09:26:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.3,3347.3,3346.3,3347.3,1400,9539075,11
2025-08-01 09:27:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.9,3349.9,3347.6,3347.6,1400,9543975,12
2025-08-01 09:28:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.1,3346.1,3344.3,3344.3,5425,9543975,13
2025-08-01 09:29:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.8,3353.4,3344.8,3353.4,2275,9543975,14
2025-08-01 09:30:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3352.7,3355,3350.8,3352.6,3850,9542225,15
2025-08-01 09:31:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3353.2,3356,3352.2,3356,2100,9542225,16
2025-08-01 09:32:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3356.8,3357.7,3355.4,3357,3675,9542225,17
2025-08-01 09:33:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3356,3363.9,3356,3363.9,4900,9546600,18
2025-08-01 09:34:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3365.9,3365.9,3360.8,3360.8,3850,9546600,19
2025-08-01 09:35:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3360.4,3360.4,3358.2,3358.2,1400,9546600,20
2025-08-01 09:37:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3356,3356,3355,3355,175,9550625,21
2025-08-01 09:38:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3353,3353,3352.4,3352.6,350,9550625,22
2025-08-01 09:39:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3353.6,3353.6,3349.1,3349.1,3850,9551150,23
2025-08-01 09:40:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347,3351.8,3346,3351.6,1400,9551150,24
2025-08-01 09:41:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3351.6,3351.6,3351.6,3351.6,0,9551150,25
2025-08-01 09:42:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3353,3354.1,3352.2,3352.2,1050,9551150,26
2025-08-01 09:43:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3352.5,3352.5,3352.5,3352.5,0,9548875,27
2025-08-01 09:45:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.9,3348,3345,3348,2975,9550450,28
2025-08-01 09:46:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.3,3347.3,3345.6,3345.6,1050,9550450,29
2025-08-01 09:47:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.7,3347.3,3345.8,3347.3,1575,9550450,30
2025-08-01 09:48:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.5,3348.5,3348.5,3348.5,0,9548875,31
2025-08-01 09:49:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.9,3349.9,3348.3,3348.3,875,9548875,32
2025-08-01 09:50:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349,3349.9,3349,3349.9,4900,9548875,33
2025-08-01 09:51:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350,3351.1,3348.6,3348.6,1575,9548525,34
2025-08-01 09:52:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.1,3347.9,3346.1,3347.9,1225,9548525,35
2025-08-01 09:53:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.7,3346.7,3345.1,3345.4,1925,9548525,36
2025-08-01 09:54:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345,3345,3344.2,3344.2,2625,9548525,37
2025-08-01 09:55:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.6,3344.6,3343.5,3343.5,700,9551675,38
2025-08-01 09:56:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343,3343,3340.7,3340.7,3675,9551675,39
2025-08-01 09:57:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3338.6,3339.9,3338.6,3338.7,4375,9557800,40
2025-08-01 09:58:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3338.7,3338.7,3337.9,3337.9,1400,9557800,41
2025-08-01 09:59:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3339.8,3340,3339.7,3340,525,9557800,42
2025-08-01 10:00:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3339.1,3339.1,3335.5,3336.1,5950,9562700,43
2025-08-01 10:01:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3336.2,3337.1,3335.4,3335.4,2625,9562700,44
2025-08-01 10:02:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3335,3336.8,3334.1,3336.8,1225,9562700,45
2025-08-01 10:03:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3337.3,3340,3337.1,3340,4375,9572150,46
2025-08-01 10:04:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3339.8,3342.2,3339.8,3340.5,1050,9572150,47
2025-08-01 10:05:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.9,3341.9,3338.5,3338.5,1750,9572150,48
2025-08-01 10:06:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3340,3340,3340,3340,0,9572500,49
2025-08-01 10:07:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3340.2,3340.2,3340.2,3340.2,0,9572500,50
2025-08-01 10:08:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3340.1,3340.2,3340.1,3340.2,175,9572500,51
2025-08-01 10:10:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.2,3342.8,3341.4,3342.8,525,9573725,52
2025-08-01 10:11:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.8,3343.8,3343.8,3343.8,175,9573725,53
2025-08-01 10:12:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.6,3343.6,3343.6,3343.6,175,9573725,54
2025-08-01 10:13:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.1,3343.1,3343.1,3343.1,0,9572325,55
2025-08-01 10:14:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345,3345,3343.5,3343.5,1400,9572325,56
2025-08-01 10:15:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.4,3345.4,3345.4,3345.4,175,9572325,57
2025-08-01 10:16:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.8,3346.8,3346.7,3346.7,175,9572150,58
2025-08-01 10:17:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346,3346,3343.4,3343.4,1400,9572150,59
2025-08-01 10:18:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.5,3344.3,3343.5,3344.3,350,9571800,60
2025-08-01 10:19:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.6,3346.7,3345.6,3346.7,525,9571800,61
2025-08-01 10:20:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.1,3344.1,3344.1,3344.1,0,9571800,62
2025-08-01 10:21:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.8,3349.8,3346.8,3349.8,350,9571275,63
2025-08-01 10:22:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.2,3349.2,3347.1,3348.2,2100,9571275,64
2025-08-01 10:23:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.3,3346.3,3346.3,3346.3,0,9571275,65
2025-08-01 10:24:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.9,3346.5,3345.9,3346.5,350,9571275,66
2025-08-01 10:25:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.7,3349.2,3346.7,3348.8,1575,9570400,67
2025-08-01 10:26:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.8,3350.2,3348.8,3350.2,175,9570400,68
2025-08-01 10:27:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.8,3348.8,3348.8,3348.8,0,9570400,69
2025-08-01 10:28:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.1,3349.1,3347.9,3347.9,875,9571100,70
2025-08-01 10:29:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350.1,3350.1,3348.4,3348.4,175,9571100,71
2025-08-01 10:30:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.3,3348.3,3348.3,3348.3,0,9571275,72
2025-08-01 10:31:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.8,3348.8,3348.2,3348.8,1575,9571275,73
2025-08-01 10:32:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.6,3348.6,3347.9,3347.9,875,9571275,74
2025-08-01 10:35:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349,3349,3349,3349,0,9571450,75
2025-08-01 10:36:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.2,3349.2,3349.2,3349.2,0,9571450,76
2025-08-01 10:37:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350.6,3350.6,3350.6,3350.6,175,9571275,77
2025-08-01 10:38:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350.7,3352,3347.6,3347.6,1925,9571275,78
2025-08-01 10:39:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.4,3348.4,3348,3348,700,9557450,79
2025-08-01 10:40:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.3,3348.3,3348.3,3348.3,0,9557450,80
2025-08-01 10:41:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347,3347,3346.7,3346.7,350,9557450,81
2025-08-01 10:42:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.7,3346.7,3346.2,3346.5,350,9558850,82
2025-08-01 10:43:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345,3345,3344,3344.8,350,9558850,83
2025-08-01 10:45:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.3,3347.3,3347.3,3347.3,0,9558850,84
2025-08-01 10:46:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.5,3346.5,3344.5,3344.5,700,9561825,85
2025-08-01 10:47:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.5,3345.5,3345.5,3345.5,0,9561825,86
2025-08-01 10:48:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.3,3345.3,3345.3,3345.3,0,9561825,87
2025-08-01 10:49:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.3,3345.3,3345.3,3345.3,0,9561825,88
2025-08-01 10:50:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.3,3345.3,3344.8,3344.8,875,9561825,89
2025-08-01 10:51:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.7,3345.1,3343,3345.1,350,9561825,90
2025-08-01 10:53:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.1,3345.2,3345.1,3345.2,175,9561825,91
2025-08-01 10:54:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.2,3343.2,3343.2,3343.2,0,9561825,92
2025-08-01 10:55:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.3,3343.3,3343.2,3343.2,525,9561475,93
2025-08-01 10:56:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.4,3344.1,3342.9,3344.1,700,9561475,94
2025-08-01 10:57:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346,3346,3344.2,3345.8,350,9562700,95
2025-08-01 10:59:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.9,3344.9,3344.6,3344.6,175,9562700,96
2025-08-01 11:00:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.3,3346.3,3346.3,3346.3,0,9562700,97
2025-08-01 11:01:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347,3347,3347,3347,0,9563225,98
2025-08-01 11:02:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3346.7,3349.5,3346.7,3349.5,175,9563225,99
2025-08-01 11:03:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3349.7,3350.5,3349.7,3350.5,175,9563225,100
2025-08-01 11:04:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350.5,3351.2,3350.5,3351.2,350,9563575,101
2025-08-01 11:05:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3350.2,3350.2,3349.8,3349.8,1400,9563575,102
2025-08-01 11:06:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.2,3348.2,3348.2,3348.2,175,9563400,103
2025-08-01 11:07:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3348.7,3348.7,3348.7,3348.7,0,9563400,104
2025-08-01 11:08:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3347.3,3347.3,3343.1,3343.1,1050,9563400,105
2025-08-01 11:09:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.2,3343.2,3343.2,3343.2,0,9563400,106
2025-08-01 11:10:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.6,3342.6,3342.6,3342.6,0,9563050,107
2025-08-01 11:11:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.9,3345.1,3342.9,3345.1,1925,9563050,108
2025-08-01 11:12:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345.1,3345.1,3345.1,3345.1,0,9563050,109
2025-08-01 11:13:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.7,3344.7,3343.7,3343.7,1050,9562875,110
2025-08-01 11:14:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344,3344,3344,3344,0,9562875,111
2025-08-01 11:15:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.8,3343.8,3343.8,3343.8,0,9562875,112
2025-08-01 11:16:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.8,3344.8,3344.8,3344.8,0,9564100,113
2025-08-01 11:17:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344.8,3344.8,3344.8,3344.8,0,9564100,114
2025-08-01 11:18:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3343.1,3343.1,3341,3341,1225,9555350,115
2025-08-01 11:19:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.1,3341.1,3340.8,3340.8,525,9555350,116
2025-08-01 11:20:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.1,3341.1,3341.1,3341.1,175,9555350,117
2025-08-01 11:21:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.6,3342.6,3342.6,3342.6,0,9555000,118
2025-08-01 11:22:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3345,3345,3345,3345,0,9555000,119
2025-08-01 11:23:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3344,3344,3341.5,3342.1,1050,9555000,120
2025-08-01 11:24:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.9,3341.9,3341.9,3341.9,0,9556575,121
2025-08-01 11:26:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3342.1,3342.1,3341.5,3341.5,350,9556575,122
2025-08-01 11:27:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.9,3341.9,3341.9,3341.9,0,9556575,123
2025-08-01 11:28:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.9,3341.9,3341.9,3341.9,0,9556575,124
2025-08-01 11:29:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.5,3342.1,3341.5,3341.7,350,9556575,125
2025-08-01 11:30:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.4,3341.4,3341.4,3341.4,0,9557275,126
2025-08-01 11:31:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341.7,3341.7,3341.7,3341.7,0,9557275,127
2025-08-01 11:32:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3341,3341,3339,3339,2450,9557275,128
2025-08-01 11:33:00,TITIND,NFO,Futures,28-AUG-25,Others,0,3338.2,3339.9,3338,3339.9,875,9559375,129
