datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-08-01 09:15:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5052,5052,5052,5052,0,6901600,0
2025-08-01 09:16:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055,5055,5051.5,5051.5,4300,6901600,1
2025-08-01 09:17:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5052.5,5054,5052.5,5054,2000,6901600,2
2025-08-01 09:18:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5053.5,5061,5053.5,5056,2300,6905200,3
2025-08-01 09:19:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5061,5061,5054,5056,3100,6905200,4
2025-08-01 09:20:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5050.5,5061,5050.5,5058,5700,6905200,5
2025-08-01 09:21:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5057.5,5058,5056,5056,500,6906600,6
2025-08-01 09:22:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5058.5,5060.5,5053.5,5056,1800,6906600,7
2025-08-01 09:23:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055,5055,5047,5049.5,4700,6906600,8
2025-08-01 09:24:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5053.5,5053.5,5038.5,5038.5,3900,6907600,9
2025-08-01 09:25:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5041,5043,5039.5,5042,1600,6907600,10
2025-08-01 09:26:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5042.5,5044.5,5032.5,5032.5,3400,6907600,11
2025-08-01 09:27:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5034.5,5036.5,5030,5036.5,4200,6910300,12
2025-08-01 09:28:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5036.5,5036.5,5023.5,5025,3000,6910300,13
2025-08-01 09:29:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5023,5024,5018.5,5024,5600,6910300,14
2025-08-01 09:30:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5026.5,5029,5020.5,5029,3100,6911800,15
2025-08-01 09:31:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5025,5026.5,5022.5,5025,6800,6911800,16
2025-08-01 09:32:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5027,5045,5027,5045,8000,6911800,17
2025-08-01 09:33:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5048,5067,5048,5067,17600,6905100,18
2025-08-01 09:34:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5064.5,5065,5056,5056,900,6905100,19
2025-08-01 09:35:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5058,5058.5,5055.5,5055.5,1100,6905100,20
2025-08-01 09:36:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5063,5066.5,5056,5056,21400,6914000,21
2025-08-01 09:37:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055,5055,5042.5,5043,3300,6914000,22
2025-08-01 09:38:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5042.5,5047,5042.5,5047,2000,6914000,23
2025-08-01 09:39:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5045,5046.5,5045,5046.5,400,6919300,24
2025-08-01 09:40:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5046,5052.5,5045.5,5052.5,700,6919300,25
2025-08-01 09:41:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055.5,5056,5055.5,5056,200,6919300,26
2025-08-01 09:42:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5053.5,5060,5053.5,5060,1100,6919600,27
2025-08-01 09:43:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5060,5075,5060,5073.5,10000,6919600,28
2025-08-01 09:44:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5071.5,5071.5,5060.5,5062.5,4000,6919600,29
2025-08-01 09:45:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5060,5065.5,5060,5065.5,800,6918900,30
2025-08-01 09:46:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5063.5,5063.5,5054.5,5057,6300,6918900,31
2025-08-01 09:47:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055.5,5055.5,5050.5,5055,4000,6918900,32
2025-08-01 09:48:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5055,5060,5051.5,5060,1100,6920800,33
2025-08-01 09:49:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5058,5063,5058,5060,900,6920800,34
2025-08-01 09:50:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5059.5,5065,5059.5,5065,1500,6920800,35
2025-08-01 09:51:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5064.5,5069,5064.5,5067,2000,6919500,36
2025-08-01 09:52:00,TRENT,NFO,Futures,28-AUG-25,Others,0,5062,5066.5,5062,5062,3200,6919500,37
